lang,date,average_sentiment_polarity
pt,2020-06-25,0.0038461538461538
pt,2020-06-26,-0.0035087719298245
pt,2020-06-27,0.0042553191489361
pt,2020-06-28,-0.0148148148148148
pt,2020-06-29,-0.0126893939393939
pt,2020-06-30,0.0133333333333333
pt,2020-07-01,-0.0092592592592592
pt,2020-07-02,-0.0499999999999999
pt,2020-07-03,0.0307692307692307
pt,2020-07-04,-0.0499999999999999
pt,2020-07-05,0.0
pt,2020-07-06,-0.0375
pt,2020-07-07,0.0
pt,2020-07-08,0.0423076923076923
pt,2020-07-09,-0.0173444976076555
pt,2020-07-10,0.0
pt,2020-07-11,0.0
pt,2020-07-12,0.0
pt,2020-07-13,0.0
pt,2020-07-14,-0.0666666666666666
pt,2020-07-15,0.0
pt,2020-07-16,0.0083333333333333
pt,2020-07-17,0.0125
pt,2020-07-18,0.0
pt,2020-07-19,0.0
pt,2020-07-20,0.0133333333333333
pt,2020-07-21,-0.0252032520325203
pt,2020-07-22,-0.0409090909090909
pt,2020-07-23,0.0
pt,2020-07-24,0.0
pt,2020-07-25,0.0
pt,2020-07-26,0.0
pt,2020-07-27,-0.025735294117647
pt,2020-07-28,0.0
pt,2020-07-29,-0.0206896551724137
pt,2020-07-30,-0.0384615384615384
pt,2020-07-31,0.0
pt,2020-08-01,-0.0357142857142857
pt,2020-08-02,0.0
pt,2020-08-03,-0.0588235294117647
pt,2020-08-04,0.0169331377202814
pt,2020-08-05,0.004541015625
pt,2020-08-06,-0.0476190476190476
pt,2020-08-07,-0.0367647058823529
pt,2020-08-08,-0.0263157894736842
pt,2020-08-09,-0.084375
pt,2020-08-10,0.0
pt,2020-08-11,0.0
pt,2020-08-12,-0.0196428571428571
pt,2020-08-13,0.0
pt,2020-08-14,-0.0222222222222222
pt,2020-08-15,0.0
pt,2020-08-16,0.0071428571428571
pt,2020-08-17,0.0541666666666666
pt,2020-08-18,0.0
pt,2020-08-19,0.0151515151515151
pt,2020-08-20,0.0
pt,2020-08-21,0.0
pt,2020-08-22,0.0
pt,2020-08-23,0.0
pt,2020-08-24,-0.0074074074074074
pt,2020-08-25,-0.0225
pt,2020-08-26,0.0
pt,2020-08-27,0.028125
pt,2020-08-28,0.0
pt,2020-08-29,0.0
pt,2020-08-30,-0.0151515151515151
pt,2020-08-31,-0.0736111111111111
pt,2020-09-01,0.0
pt,2020-09-02,-0.05
pt,2020-09-03,0.0
pt,2020-09-04,0.0
pt,2020-09-05,0.0
pt,2020-09-06,0.0
